question_id,selected_option,topic
2523,10109,Body Fluids and Circulation
2529,10130,Body Fluids and Circulation
2533,10149,Body Fluids and Circulation
2534,10151,Body Fluids and Circulation
2535,10155,Body Fluids and Circulation
2537,10163,Body Fluids and Circulation
2538,10169,Body Fluids and Circulation
2541,10178,Body Fluids and Circulation
2543,10187,Body Fluids and Circulation
2550,10216,Body Fluids and Circulation
2553,10227,Body Fluids and Circulation
2554,10232,Body Fluids and Circulation
2555,10235,Body Fluids and Circulation
2557,10242,Body Fluids and Circulation
2558,10246,Body Fluids and Circulation
2564,10270,Body Fluids and Circulation
2565,10276,Body Fluids and Circulation
2567,10283,Body Fluids and Circulation
2572,10305,Body Fluids and Circulation
2576,10318,Body Fluids and Circulation
2585,10356,Body Fluids and Circulation
2587,10365,Body Fluids and Circulation
2589,10371,Body Fluids and Circulation
2591,10378,Body Fluids and Circulation
2593,10389,Body Fluids and Circulation
2598,10407,Body Fluids and Circulation
2599,10411,Body Fluids and Circulation
2607,10444,Body Fluids and Circulation
2610,10454,Body Fluids and Circulation
2614,10472,Body Fluids and Circulation
48,192,Body Fluids and Circulation 
49,197,Body Fluids and Circulation 
50,199,Body Fluids and Circulation 
51,203,Body Fluids and Circulation 
52,208,Body Fluids and Circulation 
53,212,Body Fluids and Circulation 
54,217,Body Fluids and Circulation 
55,221,Body Fluids and Circulation 
56,224,Body Fluids and Circulation 
57,229,Body Fluids and Circulation 
58,232,Body Fluids and Circulation 
59,235,Body Fluids and Circulation 
60,239,Body Fluids and Circulation 
61,245,Body Fluids and Circulation 
62,250,Body Fluids and Circulation 
63,253,Body Fluids and Circulation 
64,256,Body Fluids and Circulation 
65,261,Body Fluids and Circulation 
134,538,Body Fluids and Circulation 
135,543,Body Fluids and Circulation 
136,546,Body Fluids and Circulation 
353,1415,Body Fluids and Circulation 
354,1417,Body Fluids and Circulation 
2523,10109,Body Fluids and Circulation
2525,10117,Body Fluids and Circulation
2528,10127,Body Fluids and Circulation
2533,10149,Body Fluids and Circulation
2539,10170,Body Fluids and Circulation
2540,10175,Body Fluids and Circulation
2548,10208,Body Fluids and Circulation
2549,10211,Body Fluids and Circulation
2550,10216,Body Fluids and Circulation
2552,10223,Body Fluids and Circulation
2554,10232,Body Fluids and Circulation
2558,10246,Body Fluids and Circulation
2560,10257,Body Fluids and Circulation
2562,10265,Body Fluids and Circulation
2564,10270,Body Fluids and Circulation
2573,10307,Body Fluids and Circulation
2574,10313,Body Fluids and Circulation
2578,10329,Body Fluids and Circulation
2580,10337,Body Fluids and Circulation
2586,10360,Body Fluids and Circulation
2590,10377,Body Fluids and Circulation
2595,10396,Body Fluids and Circulation
2599,10411,Body Fluids and Circulation
2600,10414,Body Fluids and Circulation
2602,10422,Body Fluids and Circulation
2607,10444,Body Fluids and Circulation
2608,10447,Body Fluids and Circulation
2609,10451,Body Fluids and Circulation
2612,10464,Body Fluids and Circulation
2613,10469,Body Fluids and Circulation
49,197,Body Fluids and Circulation 
52,208,Body Fluids and Circulation 
53,212,Body Fluids and Circulation 
54,217,Body Fluids and Circulation 
55,221,Body Fluids and Circulation 
60,239,Body Fluids and Circulation 
64,255,Body Fluids and Circulation 
136,546,Body Fluids and Circulation 
353,1415,Body Fluids and Circulation 
354,1417,Body Fluids and Circulation 
2521,10099,Body Fluids and Circulation
2523,10107,Body Fluids and Circulation
2532,10145,Body Fluids and Circulation
2537,10163,Body Fluids and Circulation
2538,10168,Body Fluids and Circulation
2540,10174,Body Fluids and Circulation
2544,10191,Body Fluids and Circulation
2549,10211,Body Fluids and Circulation
2558,10247,Body Fluids and Circulation
2563,10266,Body Fluids and Circulation
2564,10270,Body Fluids and Circulation
2566,10279,Body Fluids and Circulation
2567,10283,Body Fluids and Circulation
2570,10297,Body Fluids and Circulation
2571,10298,Body Fluids and Circulation
2572,10302,Body Fluids and Circulation
2577,10324,Body Fluids and Circulation
2582,10344,Body Fluids and Circulation
2585,10355,Body Fluids and Circulation
2586,10361,Body Fluids and Circulation
2590,10377,Body Fluids and Circulation
2593,10388,Body Fluids and Circulation
2594,10393,Body Fluids and Circulation
2595,10396,Body Fluids and Circulation
2596,10399,Body Fluids and Circulation
2602,10424,Body Fluids and Circulation
2610,10456,Body Fluids and Circulation
2613,10469,Body Fluids and Circulation
2616,10481,Body Fluids and Circulation
3043,12184,Human Reproduction
3044,12186,Human Reproduction
3046,12194,Human Reproduction
3053,12224,Human Reproduction
3062,12261,Human Reproduction
3063,12264,Human Reproduction
3064,12267,Human Reproduction
3065,12270,Human Reproduction
3068,12283,Human Reproduction
3071,12297,Human Reproduction
3074,12307,Human Reproduction
3080,12333,Human Reproduction
3082,12340,Human Reproduction
3083,12343,Human Reproduction
3086,12354,Human Reproduction
3087,12361,Human Reproduction
3089,12368,Human Reproduction
3090,12370,Human Reproduction
3096,12394,Human Reproduction
3097,12401,Human Reproduction
3104,12427,Human Reproduction
3110,12451,Human Reproduction
3111,12456,Human Reproduction
3112,12458,Human Reproduction
3114,12466,Human Reproduction
3116,12476,Human Reproduction
48,193,Body Fluids and Circulation 
49,197,Body Fluids and Circulation 
50,202,Body Fluids and Circulation 
51,203,Body Fluids and Circulation 
52,208,Body Fluids and Circulation 
53,212,Body Fluids and Circulation 
54,217,Body Fluids and Circulation 
55,221,Body Fluids and Circulation 
56,226,Body Fluids and Circulation 
57,229,Body Fluids and Circulation 
58,231,Body Fluids and Circulation 
59,235,Body Fluids and Circulation 
60,240,Body Fluids and Circulation 
61,244,Body Fluids and Circulation 
62,249,Body Fluids and Circulation 
64,257,Body Fluids and Circulation 
65,261,Body Fluids and Circulation 
134,539,Body Fluids and Circulation 
473,1893,principles of inheritance and variation 
474,1898,principles of inheritance and variation 
475,1901,principles of inheritance and variation 
487,1951,principles of inheritance and variation 
488,1956,principles of inheritance and variation 
492,1972,principles of inheritance and variation 
500,2001,principles of inheritance and variation 
508,2034,principles of inheritance and variation 
513,2054,principles of inheritance and variation 
521,2085,principles of inheritance and variation 
770,3084,microbes in human welfare
771,3085,microbes in human welfare
772,3091,microbes in human welfare
773,3096,microbes in human welfare
774,4667,microbes in human welfare
775,3103,microbes in human welfare
776,3107,microbes in human welfare
777,3108,microbes in human welfare
778,3113,microbes in human welfare
779,3117,microbes in human welfare
780,3120,microbes in human welfare
781,3124,microbes in human welfare
782,3130,microbes in human welfare
783,3133,microbes in human welfare
784,3139,microbes in human welfare
785,3143,microbes in human welfare
786,3146,microbes in human welfare
787,3150,microbes in human welfare
788,3153,microbes in human welfare
612,2451,reproductive health 
613,2454,reproductive health 
614,2460,reproductive health 
619,2481,reproductive health 
620,2483,reproductive health 
624,2499,reproductive health 
626,2509,reproductive health 
628,2516,reproductive health 
629,2521,reproductive health 
630,2523,reproductive health 
790,3160,human health and disease 
793,3172,human health and disease 
794,3177,human health and disease 
796,3185,human health and disease 
797,3188,human health and disease 
799,3197,human health and disease 
800,3200,human health and disease 
801,3204,human health and disease 
804,3217,human health and disease 
805,3219,human health and disease 
806,3226,human health and disease 
807,3227,human health and disease 
808,3234,human health and disease 
810,3241,human health and disease 
811,3243,human health and disease 
812,3249,human health and disease 
813,3251,human health and disease 
814,3255,human health and disease 
815,3259,human health and disease 
816,3265,human health and disease 
817,3268,human health and disease 
818,3272,human health and disease 
820,3280,human health and disease 
823,3291,human health and disease 
825,4669,human health and disease 
826,3305,human health and disease 
827,3309,human health and disease 
828,3311,human health and disease 
829,3316,human health and disease 
830,3318,human health and disease 
611,2447,reproductive health 
612,2451,reproductive health 
613,2454,reproductive health 
614,2460,reproductive health 
615,2465,reproductive health 
616,2466,reproductive health 
617,2470,reproductive health 
619,2481,reproductive health 
620,2484,reproductive health 
621,2486,reproductive health 
622,2490,reproductive health 
623,2495,reproductive health 
624,2499,reproductive health 
625,2505,reproductive health 
626,2509,reproductive health 
627,2514,reproductive health 
628,2516,reproductive health 
629,2521,reproductive health 
630,2523,reproductive health 
3132,12542,Reproductive Health
3135,12554,Reproductive Health
3137,12561,Reproductive Health
3140,12574,Reproductive Health
3142,12581,Reproductive Health
3144,12589,Reproductive Health
3145,12593,Reproductive Health
3146,12596,Reproductive Health
3147,12600,Reproductive Health
3148,12604,Reproductive Health
3149,12610,Reproductive Health
3150,12612,Reproductive Health
3156,12637,Reproductive Health
3158,12646,Reproductive Health
3160,12653,Reproductive Health
3163,12664,Reproductive Health
3165,12674,Reproductive Health
3167,12682,Reproductive Health
3168,12686,Reproductive Health
3178,12726,Reproductive Health
3181,12735,Reproductive Health
3184,12747,Reproductive Health
3185,12751,Reproductive Health
3187,12760,Reproductive Health
3188,12764,Reproductive Health
3189,12767,Reproductive Health
3190,12771,Reproductive Health
3191,12776,Reproductive Health
3193,12786,Reproductive Health
3194,12787,Reproductive Health
2417,9684,Respiration and Gas Exchange
2425,9715,Respiration and Gas Exchange
2435,9754,Respiration and Gas Exchange
2440,9776,Respiration and Gas Exchange
2444,9793,Respiration and Gas Exchange
2452,9824,Respiration and Gas Exchange
2459,9852,Respiration and Gas Exchange
2469,9890,Respiration and Gas Exchange
2515,10075,Respiration and Gas Exchange
