question_id,selected_option,topic,accuracy,score,final_score
1837,7363,Structural Organisation in Animals,85,15,30
1848,7407,Structural Organisation in Animals,90,20,35
1852,7423,Structural Organisation in Animals,75,10,22
1862,7464,Structural Organisation in Animals,80,12,25
1877,7525,Structural Organisation in Animals,95,15,40
1878,7529,Structural Organisation in Animals,70,17,23
1900,7617,Structural Organisation in Animals,80,9,32
1917,7685,Structural Organisation in Animals,90,21,41
1934,7750,Structural Organisation in Animals,85,20,29
1964,7872,Structural Organisation in Animals,90,16,29
2205,8500,Ecology and Environement,95,15,31
2001,8001,Human Physiology,75,12,27
2103,8200,Genetics and Evolution,80,10,30
